ID,Name,Grid,Easting,Northing,Lat,Lon
84,Creag Mhòr,NN391361,239100,736100,56.489415,-4.6148522
85,Ben Wyvis,NH462683,246200,868300,57.678186,-4.5808282
86,Chno Dearg,NN377741,237700,774100,56.829950,-4.6615039
87,Cruach Ardrain,NN409212,240900,721200,56.356300,-4.5765879
88,Beinn Iutharn Mhòr,NO045792,304500,779200,56.894286,-3.5692843
89,Stob Coir'an Albannaich,NN169443,216900,744300,56.554874,-4.9806708
90,Meall nan Tarmachan,NN585389,258500,738900,56.520781,-4.3015981
91,Càrn Mairg,NN684512,268400,751200,56.634081,-4.1470639
92,Sgùrr na Cìche,NM902966,190200,796600,57.012704,-5.4571761
93,Meall Ghaordaidh,NN514397,251400,739700,56.525772,-4.4173482
94,Beinn Achaladair,NN344432,234400,743200,56.551500,-4.6956162
95,Càrn a' Mhaim,NN994951,299400,795100,57.035981,-3.6593002
96,Sgurr a' Bhealaich Dheirg,NH035143,203500,814300,57.177303,-5.2524139
97,Gleouraich,NH039053,203900,805300,57.096756,-5.2387439
98,Càrn Dearg,NN504764,250400,776400,56.854855,-4.4549450
99,Beinn Fhada (Ben Attow),NH018192,201800,819200,57.220516,-5.2843886
100,Am Bodach,NN176650,217600,765000,56.740859,-4.9839425
101,Ben Oss,NN287253,228700,725300,56.388832,-4.7764656
102,Càrn Gorm,NN635500,263500,750000,56.621905,-4.2262461
103,Càrn an Rìgh,NO028772,302800,777200,56.875973,-3.5964120
104,Sgurr a' Mhaoraich,NG983065,198300,806500,57.105097,-5.3319770
105,Sgurr na Ciste Duibhe,NG984149,198400,814900,57.180471,-5.3371100
106,Beinn Challuim (Ben Challum),NN386322,238600,732200,56.454243,-4.6205492
107,Beinn a' Bheithir - Sgorr Dhearg,NN056558,205600,755800,56.653490,-5.1728596
108,Liathach - Mullach an Rathain,NG911576,191100,857600,57.560060,-5.4938918
109,Buachaille Etive Mòr - Stob Dearg (Buachaille Èite Mòr),NN222542,222200,754200,56.645736,-4.9013718
110,Ladhar Bheinn,NG824039,182400,803900,57.074543,-5.5916851
111,Aonach air Chrith,NH051083,205100,808300,57.124173,-5.2213071
112,Beinn Bheoil,NN517717,251700,771700,56.813088,-4.4309114
113,Mullach Clach a' Bhlair,NN882927,288200,792700,57.011852,-3.8426820
114,Càrn an Tuirc,NO174804,317400,780400,56.907543,-3.3579908
